City,Exp Type,Amount
"Rajsamand, India",Entertainment,651467
"Kapurthala, India",Food,650267
"Kapurthala, India",Fuel,649730
"Mokokchung, India",Food,649578
"Lunglei, India",Entertainment,648849
"Alipurduar, India",Food,647846
"Pathri, India",Grocery,647098
"Nasirabad, India",Food,645637
"Gurgaon, India",Entertainment,645428
"Neyveli (Ts), India",Fuel,644927
"Maddur, India",Entertainment,639846
"Muzaffarpur, India",Grocery,639266
"Puliyankudi, India",Food,638869
"Pilani, India",Grocery,638507
"Salem, India",Bills,637018
"Jamnagar, India",Food,635188
"Adoni, India",Bills,634273
"Sankeshwara, India",Entertainment,634063
"Tharad, India",Food,633063
"Nokha, India",Food,632914
"Jammalamadugu, India",Grocery,631817
"Raisen, India",Fuel,631378
"Sangamner, India",Fuel,630497
"Bathinda, India",Fuel,629949
"Aurangabad, India",Entertainment,629938
"Pipar City, India",Entertainment,628762
"Hubli-Dharwad, India",Entertainment,628679
"Motihari, India",Fuel,628675
"Orai, India",Grocery,627161
"Palacole, India",Food,625585
"Achalpur, India",Bills,624645
"Sidhpur, India",Grocery,624075
"Lal Gopalganj Nindaura, India",Bills,623840
"Sadabad, India",Food,621717
"Periyasemur, India",Food,620301
"Tiruchengode, India",Bills,618371
"Itarsi, India",Bills,614744
"Visnagar, India",Food,612380
"Nabha, India",Fuel,611364
"Tamluk, India",Bills,610975
"Ranaghat, India",Grocery,610604
"Buxar, India",Fuel,608173
"Bathinda, India",Grocery,608141
"Sankeshwara, India",Bills,607845
"Sambhal, India",Entertainment,607295
"Jamui, India",Food,606954
"Muktsar, India",Entertainment,606730
"Radhanpur, India",Grocery,606662
"Rishikesh, India",Bills,606551
"Mahesana, India",Bills,606040
"Sitamarhi, India",Fuel,605813
"Yanam, India",Bills,604877
"Jatani, India",Fuel,603955
"Vijayapura, India",Bills,603781
"Lakhimpur, India",Fuel,602144
"Diphu, India",Bills,599399
"Porsa, India",Fuel,598899
"Hajipur, India",Entertainment,598893
"Ramdurg, India",Grocery,597827
