City,Exp Type,Amount
"Mangrol, India",Grocery,382234
"Giridih, India",Bills,381919
"Udhampur, India",Fuel,381828
"Pali, India",Entertainment,381556
"Karimnagar, India",Food,380657
"Sihora, India",Entertainment,380334
"Maner, India",Entertainment,380233
"Lalsot, India",Food,378962
"Miryalaguda, India",Food,378483
"Nanded-Waghala, India",Food,378270
"Mahasamund, India",Bills,378230
"Sirhind Fatehgarh Sahib, India",Entertainment,378151
"Nawapur, India",Grocery,377851
"Hisar, India",Bills,377727
"Kalimpong, India",Bills,377553
"Tasgaon, India",Fuel,377538
"Bhilwara, India",Fuel,377534
"Sasaram, India",Grocery,377173
"Karjat, India",Entertainment,377101
"Navsari, India",Grocery,376876
"Naugawan Sadat, India",Bills,376498
"Radhanpur, India",Entertainment,376020
"Ranavav, India",Entertainment,375899
"Rohtak, India",Food,375533
"Thiruvananthapuram, India",Grocery,375300
"Vedaranyam, India",Grocery,375261
"Mhow Cantonment, India",Grocery,375237
"Moga, India",Bills,375011
"Mangrol, India",Bills,374962
"Talcher, India",Food,374567
"Shahjahanpur, India",Entertainment,374381
"Kottayam, India",Fuel,374351
"Bilaspur, India",Fuel,374146
"Saunda, India",Fuel,374006
"Neem-Ka-Thana, India",Food,373758
"Thakurdwara, India",Bills,373703
"Chirmiri, India",Food,373318
"Pavagada, India",Entertainment,373180
"Chaibasa, India",Bills,373156
"Rajagangapur, India",Bills,373031
"Shirpur-Warwade, India",Entertainment,372501
"Sidhpur, India",Bills,372247
"Shikohabad, India",Bills,371881
"Tarn Taran, India",Bills,371872
"Hisar, India",Entertainment,371796
"Muddebihal, India",Bills,371648
"Pipariya, India",Bills,371157
"Moradabad, India",Bills,370982
"Puttur, India",Grocery,370449
"Begusarai, India",Entertainment,370330
"Dhule, India",Food,370189
"Udaipur, India",Entertainment,370125
"Ramanathapuram, India",Grocery,369908
"Kot Kapura, India",Bills,369701
"Jamshedpur, India",Bills,369552
"Tiruchirappalli, India",Grocery,369253
"Nanded-Waghala, India",Entertainment,368730
"Washim, India",Grocery,368632
"Lakheri, India",Food,368330
"Phalodi, India",Bills,367825
"Yamunanagar, India",Food,367336
"Tiruttani, India",Food,367037
"Tharad, India",Fuel,366894
"Sailu, India",Bills,366456
"Pathri, India",Fuel,366085
"Dibrugarh, India",Grocery,366084
"Panipat, India",Entertainment,365213
"Thrissur, India",Food,365007
"Pudukkottai, India",Fuel,364768
"Mohali, India",Entertainment,364592
"Pasan, India",Food,364353
"Firozpur Cantt., India",Grocery,363755
"Madhubani, India",Food,363627
"Mungeli, India",Fuel,363621
"Nashik, India",Food,363381
"Sindhagi, India",Bills,362880
"Kodungallur, India",Grocery,361728
"Sibsagar, India",Grocery,360513
"Sircilla, India",Bills,359426
"Sitamarhi, India",Food,359335
"Limbdi, India",Bills,358890
"Shikaripur, India",Food,358509
"Sambalpur, India",Grocery,357125
"Naugachhia, India",Fuel,356385
"Raisen, India",Food,356324
"Siddipet, India",Fuel,356277
"Phagwara, India",Fuel,356204
"Malout, India",Entertainment,355457
"Karaikal, India",Entertainment,355105
"Bhadrak, India",Grocery,355085
"Ramganj Mandi, India",Bills,354651
"Satara, India",Food,354574
"Gohana, India",Food,354445
"Hardoi , India",Grocery,354252
"Vyara, India",Entertainment,353577
"Mattannur, India",Food,353172
"Puranpur, India",Food,352930
"Cuttack, India",Entertainment,352738
"Simdega, India",Food,352592
"Parvathipuram, India",Food,352447
"Tarikere, India",Bills,352165
"Kalyan-Dombivali, India",Bills,351499
"Loni, India",Food,351122
"Warora, India",Fuel,351074
"Sherkot, India",Food,351042
"Pavagada, India",Grocery,350937
"Sihor, India",Grocery,349899
"Shillong, India",Fuel,348923
"Sahaswan, India",Fuel,348913
"Vapi, India",Entertainment,348235
"Modinagar, India",Entertainment,348063
"Hindupur, India",Grocery,347947
"Ashok Nagar, India",Bills,347742
"Rath, India",Food,347578
"Kochi, India",Entertainment,347409
"Chatra, India",Bills,347260
"Narsipatnam, India",Entertainment,347254
"Kakinada, India",Entertainment,346750
"Suryapet, India",Food,346692
"Jangaon, India",Grocery,346597
"Mansa, India",Food,346593
"Sankeshwara, India",Fuel,346521
"Mandsaur, India",Food,346446
"Noorpur, India",Fuel,346033
"Tadpatri, India",Fuel,345635
"Shirdi, India",Entertainment,345632
"Eluru, India",Bills,345577
"Oddanchatram, India",Entertainment,345529
"Sirohi, India",Bills,345236
"Sankarankoil, India",Grocery,345188
"Washim, India",Entertainment,345074
"Hisar, India",Fuel,344416
"Dehri-On-Sone, India",Bills,343791
"Maihar, India",Food,343508
"Jagdalpur, India",Bills,343505
"Mangaluru, India",Food,343122
"Tilda Newra, India",Grocery,342965
"Ankleshwar, India",Grocery,342689
"Udgir, India",Bills,341906
"Lumding, India",Grocery,341743
"Shahpura, India",Bills,341626
"Aruppukkottai, India",Fuel,341483
"Bhongir, India",Bills,341255
"Bheemunipatnam, India",Bills,341105
"Rewa, India",Fuel,340919
"Ramnagar, India",Grocery,340679
"Faridkot, India",Entertainment,340547
"Patan, India",Fuel,340485
"Upleta, India",Food,340392
"Arsikere, India",Bills,340363
"Mahemdabad, India",Food,339955
"Nagaon, India",Food,339867
"Tikamgarh, India",Grocery,339220
"Markapur, India",Entertainment,339174
"Jalandhar Cantt., India",Food,339139
"Tuljapur, India",Entertainment,338173
"Kathua, India",Entertainment,337822
"Margao, India",Fuel,337784
"Neem-Ka-Thana, India",Grocery,337758
"Orai, India",Entertainment,337400
"Vadodara, India",Bills,337100
"Barbil, India",Fuel,337040
"Koratla, India",Grocery,336922
"Samana, India",Food,336816
"Tiruppur, India",Food,336097
"Gobichettipalayam, India",Food,335970
"Titlagarh, India",Food,335925
"Dharmavaram, India",Fuel,335568
"Tanda, India",Bills,335432
"Mattannur, India",Bills,335241
"Dumka, India",Bills,335157
"Mudhol, India",Entertainment,335102
"Barpeta, India",Bills,335067
"Yellandu, India",Fuel,334879
"Shivpuri, India",Food,334669
"Perumbavoor, India",Entertainment,334615
"Nawada, India",Food,334439
"Pihani, India",Entertainment,334326
"Mahasamund, India",Entertainment,334198
"Uchgaon, India",Bills,333777
"Thanjavur, India",Bills,333543
"Byasanagar, India",Food,333274
"Shrigonda, India",Entertainment,333088
"Sangaria, India",Food,332937
"Mainaguri, India",Food,332690
"Sundargarh, India",Entertainment,332444
"Tiruchendur, India",Entertainment,331718
"Deoghar, India",Grocery,331692
"Raayachuru, India",Bills,331567
"Sri Madhopur, India",Entertainment,331524
"Rampurhat, India",Fuel,331297
"Ichalkaranji, India",Grocery,330750
"Sholingur, India",Bills,330721
"Arvi, India",Bills,330679
"Kendrapara, India",Bills,330371
"Raiganj, India",Food,330298
"Kagaznagar, India",Fuel,330053
"Makrana, India",Food,329983
"Naila Janjgir, India",Bills,329878
"Sardhana, India",Grocery,329824
"Sitamarhi, India",Grocery,329708
"Tumkur, India",Grocery,329226
"Habra, India",Food,329070
"Shirdi, India",Grocery,329002
"Tarakeswar, India",Food,328664
"Gobindgarh, India",Food,328594
"Rewa, India",Grocery,328531
"Sardarshahar, India",Food,328335
"Mandideep, India",Food,327978
"Rajagangapur, India",Food,327417
"Rampurhat, India",Grocery,327307
"Sindhnur, India",Fuel,327284
"Kandukur, India",Grocery,327211
"Arambagh, India",Fuel,326778
"Shikaripur, India",Fuel,326682
"Sohna, India",Food,326625
"Sendhwa, India",Bills,326307
"Hisar, India",Grocery,326179
"Sanduru, India",Fuel,325770
"Talode, India",Food,325755
"Tasgaon, India",Entertainment,325341
"Risod, India",Food,325230
"Hardwar, India",Grocery,324952
"Mihijam, India",Bills,324629
"Kasaragod, India",Bills,324485
"Nizamabad, India",Fuel,323891
"Jagraon, India",Bills,323823
"Maihar, India",Entertainment,323734
"Naharlagun, India",Bills,323493
"Bokaro Steel City, India",Grocery,323107
"Manavadar, India",Fuel,322994
"Bhuj, India",Grocery,322897
"Rajgarh (Churu), India",Grocery,322883
"Akola, India",Grocery,322638
"Jalpaiguri, India",Fuel,321934
"Puri, India",Entertainment,321692
"Hisar, India",Food,321686
"Sillod, India",Food,321371
"Guntur, India",Bills,321218
"Thoubal, India",Entertainment,321159
"Akola, India",Food,321030
"Kapadvanj, India",Fuel,320933
"Sultanganj, India",Bills,320888
"Jind, India",Entertainment,320695
"Tenkasi, India",Food,320672
"Ramganj Mandi, India",Fuel,320581
"Machilipatnam, India",Entertainment,320570
"Korba, India",Entertainment,320155
"Bhilwara, India",Food,319706
"Mehkar, India",Entertainment,319616
"Sanand, India",Bills,319406
"Bankura, India",Bills,319130
"Bikaner, India",Grocery,319063
"Palanpur, India",Bills,318813
"Nelamangala, India",Entertainment,318745
"Talaja, India",Entertainment,318274
"Zira, India",Fuel,318253
"Ozar, India",Food,318028
"Bhubaneswar, India",Fuel,317786
"Rasra, India",Entertainment,317640
"Raisen, India",Grocery,317589
"Nawada, India",Bills,317574
"Tiruvuru, India",Food,317266
"Aligarh, India",Fuel,317084
"Singrauli, India",Bills,316023
"Agartala, India",Grocery,315857
"Bharuch, India",Grocery,315663
"Vikramasingapuram, India",Fuel,315066
"Chittur-Thathamangalam, India",Grocery,314403
"Dhubri, India",Food,314324
"Purnia, India",Entertainment,313654
"Lalsot, India",Grocery,313512
"Narnaul, India",Bills,313446
"Barbil, India",Entertainment,313307
"Darbhanga, India",Food,313162
"Nandurbar, India",Food,312529
"Santipur, India",Fuel,312355
"Jhansi, India",Bills,312076
"Lingsugur, India",Entertainment,311791
"Sindhagi, India",Entertainment,311780
"Sanand, India",Fuel,311751
"Sehore, India",Fuel,311625
"Darbhanga, India",Bills,311214
"Nagda, India",Fuel,311203
"Loni, India",Grocery,311123
"Valsad, India",Bills,311068
"Rath, India",Grocery,310720
"Kaithal, India",Food,309934
"Haldwani-Cum-Kathgodam, India",Food,309829
"Partur, India",Fuel,309225
"Palwancha, India",Grocery,309134
"Sikandrabad, India",Fuel,309071
"Laharpur, India",Food,308721
"Bahadurgarh, India",Food,308414
"Dhubri, India",Fuel,308181
"Nautanwa, India",Bills,308026
"Sironj, India",Grocery,307744
"Jabalpur, India",Entertainment,307599
"Ludhiana, India",Entertainment,307562
"Nanded-Waghala, India",Fuel,307045
"Chirmiri, India",Grocery,306795
"Masaurhi, India",Bills,306707
"Samastipur, India",Food,306514
"Habra, India",Bills,306025
"Talcher, India",Bills,305246
"Bharatpur, India",Grocery,305079
"Nandurbar, India",Grocery,304932
"Wankaner, India",Bills,304661
"Rajgir, India",Entertainment,304655
"Sanand, India",Entertainment,303689
"Nizamabad, India",Entertainment,303558
"English Bazar, India",Entertainment,303505
"Naugachhia, India",Food,303054
"Sidhpur, India",Fuel,302785
"Kharagpur, India",Grocery,302650
"Srikakulam, India",Fuel,302629
"Malappuram, India",Bills,301517
"Vadnagar, India",Food,301266
"Shahpura, India",Grocery,301264
"Akot, India",Fuel,301132
"Kollam, India",Entertainment,300852
"Dhenkanal, India",Grocery,300810
"Umarkhed, India",Fuel,300646
"Vadipatti, India",Bills,300309
"Chirmiri, India",Fuel,300212
"Sadasivpet, India",Entertainment,300012
"Wardha, India",Bills,299987
"Raghogarh-Vijaypur, India",Bills,299980
"Ramngarh, India",Grocery,299537
"Nagari, India",Food,299242
"Narasapuram, India",Bills,299178
"Bellampalle, India",Fuel,299171
"Tekkalakote, India",Fuel,298938
"Pilkhuwa, India",Entertainment,298866
"Sheopur, India",Food,298821
"Goalpara, India",Fuel,298708
"Sitamarhi, India",Bills,298693
"Kadapa, India",Grocery,298654
"Chittoor, India",Fuel,298583
"Zunheboto, India",Grocery,298567
"Puranpur, India",Fuel,298518
"Yawal, India",Bills,298469
"Nadbai, India",Food,298448
"Suar, India",Bills,298349
"Raurkela, India",Fuel,298106
"Uravakonda, India",Fuel,298057
"Jamalpur, India",Grocery,298047
"Yevla, India",Entertainment,297976
"Vaniyambadi, India",Fuel,297907
"Tura, India",Entertainment,297858
"Madurai, India",Entertainment,297841
"Bellampalle, India",Entertainment,297800
"Sironj, India",Entertainment,297574
"Palwancha, India",Food,297472
"Dimapur, India",Bills,297412
"Nagaur, India",Fuel,297254
"Nanjangud, India",Food,297217
"Bheemunipatnam, India",Grocery,297116
"Adityapur, India",Food,296944
"Zaidpur, India",Food,296911
"Amritsar, India",Fuel,296789
"Rajsamand, India",Grocery,296764
"Kadapa, India",Fuel,296691
"Jind, India",Bills,296684
"Thodupuzha, India",Food,296684
"Sinnar, India",Bills,296596
"Sirsi, India",Bills,296541
"Nirmal, India",Food,296534
"Amroha, India",Grocery,296502
"Lakshmeshwar, India",Food,296366
"Faridabad, India",Bills,296249
"Paravoor, India",Bills,296182
"Tilda Newra, India",Food,295989
"Sira, India",Food,295644
"Dharmanagar, India",Entertainment,295395
"Jatani, India",Grocery,295348
"Alappuzha, India",Food,295341
"Tenkasi, India",Grocery,295198
"Nandurbar, India",Bills,295111
"Kurnool, India",Bills,295091
"Pipar City, India",Food,295002
"Khair, India",Entertainment,294975
"Kendujhar, India",Food,294727
"Sailu, India",Entertainment,294700
"Modinagar, India",Food,294699
"Bheemunipatnam, India",Food,294678
"Morvi, India",Bills,294627
"Pattukkottai, India",Fuel,294583
"Akola, India",Entertainment,294042
"Pandharpur, India",Food,293916
"Pihani, India",Food,293897
"Sullurpeta, India",Grocery,293798
"Lalsot, India",Entertainment,293797
"Nohar, India",Bills,293685
"Lakhimpur, India",Entertainment,293470
"Sujangarh, India",Entertainment,293458
"Patna, India",Grocery,293217
"Balurghat, India",Food,293207
"Phalodi, India",Grocery,293126
"Pandharkaoda, India",Entertainment,293048
"Shahpura, India",Fuel,293015
"Sonipat, India",Entertainment,292817
"Hoshiarpur, India",Bills,292645
"Malegaon, India",Bills,292535
"Rohtak, India",Grocery,292106
"Umarkhed, India",Entertainment,292029
"Belagavi, India",Grocery,292010
"Srikalahasti, India",Fuel,291931
"Mahesana, India",Entertainment,291638
"Gokak, India",Grocery,291567
"Markapur, India",Grocery,291407
"Jaggaiahpet, India",Entertainment,291382
"Malpura, India",Bills,291349
"Arwal, India",Grocery,290949
"Shajapur, India",Bills,290754
"Manglaur, India",Fuel,290584
"Ramachandrapuram, India",Fuel,290570
"Muvattupuzha, India",Entertainment,290240
"Navi Mumbai, India",Food,290034
"Dibrugarh, India",Food,289955
"Rajampet, India",Fuel,289916
"Nedumangad, India",Grocery,289877
"Khanna, India",Entertainment,289845
"Nahan, India",Grocery,289835
"Singrauli, India",Food,289826
"Sunam, India",Grocery,289749
"Lachhmangarh, India",Grocery,289732
"Arakkonam, India",Grocery,289720
"Gwalior, India",Grocery,289394
"Modasa, India",Entertainment,289388
"Sojat, India",Food,289353
"Nagercoil, India",Fuel,289226
"Zirakpur, India",Fuel,289172
"Nabha, India",Bills,289118
"Mancherial, India",Food,288945
"Phagwara, India",Entertainment,288931
"Palani, India",Fuel,288902
"Agartala, India",Entertainment,288868
"Vizianagaram, India",Food,288713
"Tindivanam, India",Grocery,288711
"Kadi, India",Bills,288693
"Malegaon, India",Entertainment,288672
"Pattamundai, India",Bills,288565
"Lunglei, India",Fuel,288517
"Ambejogai, India",Bills,288320
"Satana, India",Bills,288217
"Kozhikode, India",Bills,288060
"Losal, India",Food,287960
"Cuttack, India",Food,287896
"Shahpur, India",Food,287863
"Thane, India",Entertainment,287836
"Shirur, India",Entertainment,287710
"Batala, India",Grocery,287488
"Sathyamangalam, India",Food,287472
"Davanagere, India",Food,287332
"Mahe, India",Fuel,287125
"Thirumangalam, India",Bills,287087
"Machilipatnam, India",Grocery,286912
"Tura, India",Bills,286812
"Adilabad, India",Entertainment,286662
"Puranpur, India",Entertainment,286657
"Bankura, India",Grocery,286632
"Surapura, India",Food,286598
"Ujhani, India",Fuel,286585
"Buxar, India",Bills,286378
"Mudalagi, India",Grocery,286321
"Nasirabad, India",Grocery,286277
"Baripada Town, India",Bills,286198
"Bettiah, India",Fuel,286111
"Malavalli, India",Food,285885
"Purna, India",Fuel,285823
"Mahesana, India",Food,285785
"Rajpura, India",Fuel,285700
"Dharmanagar, India",Bills,285697
"Phusro, India",Grocery,285656
"Risod, India",Entertainment,285653
"Dimapur, India",Fuel,285559
"Karimganj, India",Fuel,285553
"Dumka, India",Entertainment,285492
"Hazaribag, India",Bills,285470
"Tadepalligudem, India",Entertainment,285438
"Alwar, India",Food,285142
"Tuni, India",Fuel,285125
"Jagdalpur, India",Entertainment,284824
"Jodhpur, India",Entertainment,284798
"Raghogarh-Vijaypur, India",Grocery,284754
"Nandivaram-Guduvancheri, India",Fuel,284610
"Lakhisarai, India",Entertainment,284535
"Thuraiyur, India",Fuel,284147
"Lakshmeshwar, India",Fuel,284123
"Sirsa, India",Food,284105
"Ladwa, India",Food,284102
"Revelganj, India",Bills,283990
"Balaghat, India",Fuel,283975
"Pinjore, India",Entertainment,283828
"Ottappalam, India",Fuel,283689
"Vellakoil, India",Grocery,283475
"Vijayawada, India",Bills,283421
"Tumsar, India",Grocery,283414
"Robertsganj, India",Grocery,283326
"Mudhol, India",Grocery,283229
"Karwar, India",Food,283226
"Rosera, India",Fuel,283179
"Sonipat, India",Food,282988
"Madhugiri, India",Entertainment,282820
"Sankari, India",Fuel,282796
"Osmanabad, India",Food,282745
"Rajpipla, India",Food,282620
"Sholingur, India",Food,282600
"Tiruchengode, India",Entertainment,282585
"Pilibhit, India",Food,282409
"Karwar, India",Entertainment,282203
"Ashok Nagar, India",Entertainment,282080
"Kozhikode, India",Grocery,282009
"Dhamtari, India",Food,281971
"Machilipatnam, India",Bills,281937
"Mohali, India",Grocery,281928
"Vedaranyam, India",Fuel,281842
"Neem-Ka-Thana, India",Fuel,281712
"Rajgarh (Churu), India",Entertainment,281679
"Jaggaiahpet, India",Food,281654
"Jammu, India",Fuel,281633
"Baleshwar Town, India",Grocery,281441
"Alwar, India",Fuel,281388
"Sagar, India",Fuel,281350
"Mainaguri, India",Grocery,281228
"Faridabad, India",Fuel,281161
"Byasanagar, India",Bills,281085
"Periyasemur, India",Entertainment,281029
"Yamunanagar, India",Entertainment,280953
"Sanawad, India",Fuel,280922
"Seoni, India",Entertainment,280910
"Maddur, India",Food,280797
"Savanur, India",Entertainment,280744
"Amalner, India",Entertainment,280729
"Ozar, India",Entertainment,280655
"Puliyankudi, India",Entertainment,280652
"Una, India",Fuel,280618
"Tuljapur, India",Grocery,280420
"Fatehpur Sikri, India",Fuel,280407
"Madhugiri, India",Fuel,280205
"Raipur, India",Food,279844
"Panchkula, India",Fuel,279644
"Punch, India",Grocery,279458
"Malegaon, India",Grocery,279341
"Theni Allinagaram, India",Entertainment,279202
"Shikohabad, India",Fuel,279167
"Unnao, India",Fuel,278986
"Jagraon, India",Grocery,278714
"Udupi, India",Grocery,278399
"Shivpuri, India",Entertainment,278217
"Santipur, India",Grocery,278102
"Nasirabad, India",Bills,277993
"Mandsaur, India",Grocery,277928
"Purna, India",Food,277913
"Nainital, India",Entertainment,277726
"Kharar, India",Food,277715
"Tadpatri, India",Food,277633
"Sultanganj, India",Fuel,277363
"Navi Mumbai, India",Grocery,277346
"Maihar, India",Bills,277339
"Nagda, India",Grocery,277210
"Shahbad, India",Food,277169
"Solan, India",Bills,277084
"Ambikapur, India",Bills,276978
"Kodungallur, India",Bills,276516
"Seoni-Malwa, India",Fuel,276452
"Kancheepuram, India",Grocery,276300
"Pandharpur, India",Fuel,276256
"Periyakulam, India",Entertainment,276243
"Vyara, India",Bills,276235
"Nagari, India",Grocery,276176
"Shahjahanpur, India",Bills,276092
"Faridkot, India",Grocery,275919
"Kottayam, India",Entertainment,275868
"Rajgarh (Churu), India",Food,275734
"Mahasamund, India",Grocery,275543
"Sonepur, India",Bills,275517
"Karimganj, India",Food,275466
"Ballari, India",Food,275415
"Naila Janjgir, India",Fuel,275365
"Talode, India",Entertainment,275305
"Tiruvethipuram, India",Grocery,275284
"Saharsa, India",Food,275071
"Medak, India",Food,274965
"Mandi, India",Fuel,274820
"Giridih, India",Food,274684
"Shegaon, India",Grocery,274618
"Shahbad, India",Grocery,274570
"Pernampattu, India",Grocery,274505
"Sumerpur, India",Fuel,274502
"Sibsagar, India",Fuel,274476
"Lingsugur, India",Fuel,274450
"Salur, India",Bills,274445
"Shirdi, India",Food,274377
"Tenali, India",Bills,274306
"Mahesana, India",Grocery,274116
"Kharar, India",Fuel,274082
"Hajipur, India",Grocery,274051
"Sankarankoil, India",Bills,273934
"Tindivanam, India",Bills,273932
"Nepanagar, India",Grocery,273771
"Chikkamagaluru, India",Entertainment,273502
"Nellikuppam, India",Bills,273421
"Jagdalpur, India",Fuel,273399
"Chirkunda, India",Grocery,272940
"Pedana, India",Food,272817
"Lunawada, India",Food,272714
"Sindhnur, India",Grocery,272551
"Namakkal, India",Fuel,272526
"Ponnur, India",Bills,272517
"Kakinada, India",Grocery,272473
"Maddur, India",Bills,272443
"Wadgaon Road, India",Bills,272366
"Pavagada, India",Bills,272286
"Tanda, India",Food,272252
"Soron, India",Food,272066
"Supaul, India",Food,272044
"Cuttack, India",Bills,271983
"Manendragarh, India",Fuel,271924
"Karur, India",Bills,271819
"Mahuva, India",Food,271647
"Sarangpur, India",Bills,271522
"Udaipur, India",Bills,271474
"Dehradun, India",Entertainment,271408
"Pandua, India",Entertainment,271397
"Indore, India",Grocery,271337
"Tikamgarh, India",Entertainment,271229
"Barpeta, India",Fuel,270745
"Sardhana, India",Fuel,270723
"Asansol, India",Bills,270715
"Hansi, India",Food,270584
"Periyakulam, India",Grocery,270540
"Tiruvannamalai, India",Entertainment,270496
"Dhule, India",Entertainment,270241
"Purnia, India",Grocery,270090
"Repalle, India",Entertainment,269575
"Anjangaon, India",Entertainment,269444
"Karjat, India",Fuel,269258
"Sivakasi, India",Food,269195
"Sarangpur, India",Fuel,269069
"Deesa, India",Fuel,268769
"Sidhpur, India",Entertainment,268545
"Sundargarh, India",Grocery,268507
"Bharuch, India",Food,268203
"Pen, India",Grocery,268177
"Saharsa, India",Bills,267205
"Port Blair, India",Fuel,267057
"Losal, India",Entertainment,266479
"Vita, India",Fuel,266392
"Neyveli (Ts), India",Food,266172
"Ranipet, India",Grocery,266050
"Sagwara, India",Bills,265764
"Tundla, India",Entertainment,265749
"Adoni, India",Grocery,265682
"Madhepura, India",Grocery,265586
"Nuzvid, India",Bills,265425
"Sujangarh, India",Grocery,265399
"Nilambur, India",Grocery,265343
"Bhuj, India",Bills,265297
"Katihar, India",Entertainment,265107
"Jalandhar, India",Fuel,264902
"Kunnamkulam, India",Entertainment,264875
"Malur, India",Grocery,264793
"Pen, India",Food,264754
"Bhadrachalam, India",Entertainment,264639
"Satana, India",Grocery,264412
"Afzalpur, India",Fuel,264403
"Porbandar, India",Bills,264391
"Dimapur, India",Entertainment,264269
"Palwal, India",Fuel,264115
"Murtijapur, India",Entertainment,264055
"Bhainsa, India",Grocery,264023
"Mandideep, India",Entertainment,263935
"Palani, India",Food,263917
"Talegaon Dabhade, India",Bills,263902
"Deoghar, India",Fuel,263775
"Manwath, India",Bills,263620
"Suryapet, India",Entertainment,263504
"Nehtaur, India",Bills,263482
"Jalandhar, India",Entertainment,263202
"Tirukkoyilur, India",Entertainment,263060
"Balaghat, India",Bills,262977
"Silchar, India",Grocery,262937
"Panvel, India",Bills,262749
"Buxar, India",Grocery,262587
"Kolar, India",Bills,262443
"Umred, India",Bills,262317
"Shujalpur, India",Grocery,262259
"Bhatapara, India",Food,262123
"Vijayapura, India",Grocery,262082
"Bhabua, India",Bills,261762
"Pipariya, India",Fuel,261691
"Lakheri, India",Fuel,261536
"Munger, India",Food,261453
"Paradip, India",Bills,261358
"Nanjangud, India",Grocery,261337
"Mancherial, India",Bills,261263
"Sunam, India",Entertainment,261150
"Araria, India",Entertainment,261126
"Parvathipuram, India",Fuel,261063
"Nedumangad, India",Entertainment,260949
"Jhumri Tilaiya, India",Bills,260883
"Sitapur, India",Grocery,260793
"Virudhachalam, India",Food,260676
"Kendujhar, India",Bills,260503
"Lalitpur, India",Bills,260485
"Port Blair, India",Grocery,260478
"Mulbagal, India",Entertainment,260448
"Radhanpur, India",Food,260362
"Utraula, India",Entertainment,260342
"Silchar, India",Fuel,260304
"Nargund, India",Food,260288
"Nedumangad, India",Food,260176
"Adityapur, India",Fuel,260118
"Kharar, India",Bills,259942
"Mankachar, India",Entertainment,259856
"Bobbili, India",Food,259780
"Muddebihal, India",Entertainment,259744
"Anakapalle, India",Fuel,259499
"Neemuch, India",Fuel,259489
"Thrissur, India",Entertainment,259476
"Nabadwip, India",Bills,259448
"Tharad, India",Grocery,259390
"Yerraguntla, India",Grocery,259335
"Baramula, India",Entertainment,259311
"Keshod, India",Food,259044
"Seoni-Malwa, India",Entertainment,258996
"Gudivada, India",Fuel,258930
"Neyyattinkara, India",Grocery,258820
"Jorhat, India",Bills,258803
"Uravakonda, India",Grocery,258756
"Baramula, India",Food,258551
"Nagaon, India",Grocery,258446
"Lanka, India",Entertainment,258436
"Parvathipuram, India",Bills,258426
"Puranpur, India",Bills,258416
"Neyyattinkara, India",Entertainment,257927
"Bhilai Nagar, India",Bills,257840
"Moradabad, India",Food,257626
"Kavali, India",Food,257602
"Fatehabad, India",Entertainment,257574
"Gudivada, India",Bills,257570
"Nabarangapur, India",Grocery,257304
"Lahar, India",Entertainment,257133
"Kochi, India",Bills,256396
"Mokameh, India",Food,256299
"Vellore, India",Bills,256179
"Nimbahera, India",Entertainment,256021
"Morshi, India",Food,256003
"Muktsar, India",Fuel,255773
"Habra, India",Grocery,255684
"Nanpara, India",Fuel,255474
"Uran, India",Fuel,255363
"Madhubani, India",Grocery,255245
"Zaidpur, India",Entertainment,255188
"Narsinghgarh, India",Grocery,254718
"Rawatsar, India",Entertainment,254708
"Ranchi, India",Bills,254570
"Koyilandy, India",Bills,254501
"Ankleshwar, India",Fuel,254421
"Sadulpur, India",Fuel,254054
"Bokaro Steel City, India",Food,254036
"Erode, India",Entertainment,253944
"Thiruvarur, India",Grocery,253809
"Sankarankoil, India",Entertainment,253659
"Vadodara, India",Grocery,253599
"Patti, India",Grocery,253595
"Parlakhemundi, India",Grocery,253514
"Nilanga, India",Fuel,253503
"Baharampur, India",Fuel,253458
"Sabalgarh, India",Grocery,253333
"Soro, India",Food,253080
"Tirunelveli, India",Grocery,253079
"Maihar, India",Grocery,252879
"Gwalior, India",Entertainment,252782
"Ichalkaranji, India",Food,252478
"Shahbad, India",Entertainment,252450
"Shenkottai, India",Grocery,252344
"Rosera, India",Grocery,252297
"Sivaganga, India",Entertainment,252253
"Manglaur, India",Grocery,252186
"Thirumangalam, India",Fuel,252151
"Ranibennur, India",Grocery,252057
"Macherla, India",Food,251850
"Virudhunagar, India",Fuel,251825
"Umbergaon, India",Bills,251820
"Vrindavan, India",Fuel,251775
"Charkhi Dadri, India",Bills,251612
"Nagda, India",Entertainment,251481
"Kollam, India",Grocery,251393
"Anand, India",Fuel,251317
"Sultanpur, India",Grocery,251240
"Ranavav, India",Food,251225
"Laharpur, India",Bills,251017
"Chittur-Thathamangalam, India",Fuel,251002
"Aligarh, India",Food,250934
"Kovvur, India",Entertainment,250884
"Rabkavi Banhatti, India",Fuel,250770
"Deoghar, India",Food,250666
"Lunawada, India",Entertainment,250648
"Ujhani, India",Entertainment,250028
"Sheopur, India",Entertainment,249916
"Saunda, India",Grocery,249905
"Sahibganj, India",Food,249871
"Margao, India",Grocery,249803
"Phaltan, India",Grocery,249754
"Nagaon, India",Bills,249535
"Rajahmundry, India",Grocery,249504
"Ichalkaranji, India",Entertainment,249491
"Baripada Town, India",Grocery,249463
"Etawah, India",Food,249463
"Nedumangad, India",Fuel,249394
"Mavoor, India",Food,249308
"Shahjahanpur, India",Grocery,249171
"Padra, India",Grocery,248794
"Nahan, India",Food,248730
"Jammu, India",Entertainment,248350
"Wadi, India",Food,248321
"Thanesar, India",Fuel,248150
